trailId,chilangoId,from,to,headSign,routeName,recordDate,recordTime,recordDuration,vehicleTipo,tarifMax,longKmvirtualRoute,edges
5297274695450624,381,CONSTITUCIÃN DE 1917 (METRO),MINAS IZTAPALAPA,CONSTITUCIÃN DE 1917 (METRO)-MINAS IZTAPALAPA,CONSTITUCIÃN DE 1917 (METRO)-MINAS IZTAPALAPA,14-02-2016,19:01,28.0,AutobÃºs,6.0,5.52208947251,false,->15075->28016->29145->12037->25842->6495->6488->6383->4428->4436->2179->21664->19502->27923->14104->14136->29613->29497->9588->21032->18106->18101->10225->18825->25041->25030->29610->29566->29592->29679->29680->29608->29571->30840->3907->24903->15304->15301->24296->24269->2925->4973->4996->4991->753->29975->24340->30423->27090->16253->16257->25363->26800->24640->25047->17944->23942->12284->12286->6464->6471->4340->25536->19290->19297->20373->20380->25014->30694->30567->21597->15078->24685->10868->4447->4453->10211->10198->10200->3196->11772->27599->29470->29464->19334->22663->22692->15212->27769->29008
5834668830097408,294,ESPERANZA PALACIO,IZCALLI NEZAHUALCÃYOTL,ESPERANZA PALACIO-IZCALLI NEZAHUALCÃYOTL,ESPERANZA PALACIO-IZCALLI NEZAHUALCÃYOTL,07-02-2016,23:29,34.0,Vagoneta/Combi,7.0,10.3215146514,false,->6092->19965->7653->21730->7010->13348->1923->3357->1911->13171->2871->3411->3387->2856->2859->514->3376->3374->510->472->2841->12280->13479->2147->3369->12846->13293->12837->2396->3405->520->1716->27649->23013->29433->29418->3236->3235->4738->11054->12562->15155->12565->12564->15165->17093->3528->16097->14185->15195->15205->15197->6929->5481->13266->13352->13082->29831->8786->30083->12643->12353->12062->5198->8237->2062->2042->2037->10482->6180->9605->9603->9592->3645->3680->6070->6072->16058->8791->8793->2318->19168->19205->19196->18954->16014->30833->17305->17262->17277->17265->17481->17493->17542->17673->30935->16319->19368->23392->15117->2021->8797->664->9315->9304->12->9596->9713->9710->5939->5930->6033->6449->6392->6396->5875->9214->8673->4361->4102->4071->4072->17720->26203->14488->28518->28560->28545->28512->20995->14394->14830->15044->21001->26824->26847->27009->27440->27602->27603->27604->27892->27887->22088->23210->25831->4177->4187->25128->25140->4146->4142->4129->4110->4114->4098->4068->4349->4345->16027->16627->24693->24682->24671->6312->6311->6300->6299->22705->5082->5081->5079->5092->5091->5064->5056->7392->7386->10778->26372->17036->8424->8426->8399->8403->22793->22308->22314->26686->26910->22967->23112->8414->8243->8310->2022->17951->3849->8820->14710->14711->26145
5988007416954880,97,VILLA DE ARAGÃN,CEYLÃÂN,VILLA DE ARAGÃN-CEYLÃÂN,VILLA DE ARAGÃN-CEYLÃÂN,12-02-2016,19:01,57.0,AutobÃºs,5.5,13.3144424789,false,->13791->23628->6545->26157->25836->1705->9137->12143->23533->30563->27758->4438->2224->2664->11682->10916->14708->8991->12739->12740->12737->12794->12746->12296->12259->14547->8928->20327->16219->17589->17642->28104->8186->29685->14241->5888->11286->11281->21238->20954->31126->24971->30925->21041->9494->2360->8763->27814->29880->384->7316->4242->6990->16962->8258->8260->9853->20656->24313->22505->22477->22449->22530->16074->16208->24922->24938->16186->24394->2347->3854->30294->13244->27508->4219->4162->27550->8953->28402->28405->17338->4046->10384->20021->20076->20075->20072->20082->20028->26526->20886->20895->20898->20911->20839->1913->20178->20022->20141->20038->20042->20033->20177->20129->19476->23950->18618->21910->19533->19542->19545->13447->13445->19481->29211->29363->29332->29328->29354->29374->22375->22273->22265->22263->22267->22335->22458->22431->22417->22489->22492->22444->22354->22402->3585->3619->3661->3684->3469->3463->3461->686->687->12678->19217->21204->10659->4769->4766->10656->10646->17066->7263->25267->25265->4282->2110->24952->21711->9584->13802->12930->9385->21685->21691->23340->10027->10748->9080->18411->17998->17967->17941->17860->30104->1849->25468->30709->6775->12680->15624->15625->19729->19737->19741->16799->7112->7113->28641->21782->21780->25365
5969979274952704,283,CERRO DE LA ESTRELLA (METRO),BOULEVARD PUERTO AÃREO (METRO),CERRO DE LA ESTRELLA (METRO)-BOULEVARD PUERTO AÃREO (METRO),CERRO DE LA ESTRELLA (METRO)-BOULEVARD PUERTO AÃREO (METRO),31-01-2016,22:20,37.0,MicrobÃºs,4.5,9.63820210257,false,->13958->929->13727->2236->6884->1750->23398->23849->7076->27772->29023->4331->530->527->25872->3538->13591->13598->12777->12908->31044->15769->12454->18946->1052->10585->18690->11220->3048->3083->2995->2999->3063->3071->14313->10606->10401->10764->14707->11047->20741->31075->10298->25566->8238->8938->8370->14196->26524->25238->25237->9395->14681->18435->10897->8295->14545->18229->9647->18230->10845->10852->13615->2792->2790->17981->4019->15763->16896->6906->30534->5206->20651->14285->25309->4988
5941645660913664,277,CONSTITUCIÃN DE 1917 (METRO),CANAL DE SAN JUAN (METRO),CONSTITUCIÃN DE 1917 (METRO)-CANAL DE SAN JUAN (METRO),CONSTITUCIÃN DE 1917 (METRO)-CANAL DE SAN JUAN (METRO),12-02-2016,00:49,51.0,MicrobÃºs,5.0,8.05734730414,false,->24119->6309->22006->13436->3080->3296->10355->10291->3257->2900->18161->21207->21213->19405->26777->4280->22827->16365->19672->31116->2159->13722->16668->9682->13705->9719->20934->386->24558->15506->15485->24410->24435->24501->20437->23302->12146->4512->29411->29581->29603->26301->13533->3532->20876->2292->21081->5576->20463->9705->10708->10665->5926->28253->9045->705->20257->24165->12939->12935->590->4004->4001->15435->2372->24004->16250->12142->24177->24382->24292->24226->24285->24312->26198->26193->26174->26166->24143->6814->6866->20358->14640->14931->14935->14957->14641->14648->14913->14920->14945->14916->14921->14952->14891->14888->14889->14892->9743->9699->9697->9700->9660->9678->9653->19797->21667->20593->21600->1771->15248->15243->27972->27914->27933->27902->4588->19677->26457->23144
4523254924443648,326,COYOACÃÂN (METRO),VILLA COAPA,COYOACÃÂN (METRO)-VILLA COAPA,COYOACÃÂN (METRO)-VILLA COAPA,09-02-2016,23:25,53.0,MicrobÃºs,6.0,12.4998604434,false,->25630->24825->18470->19370->15632->17020->24504->637->17485->7493->6421->11018->10990->8083->26597->22628->26792->29565->28717->31094->147->8709->15565->19036->27938->10506->29368->12219->12230->29345->1720->1721->25653->25354->25938->21025->21680->10675->29293->965->22239->22050->25625->24923->28316->26178->22526->26462->2015->2012->5825->15812->19990->2973->27125->18710->19025->30822->31117->30529->2184->9864->16722->16702->19851->29762->12131->12119->17403->17402->29700->25713->25928->13075->21092->15810->14984->3610->22984->23826->25605->25283->22796->10247->18436->3868->20210->10714->24707->27110->23934->21694->2508->5110->10527->17122->5563->15027->20058->7212->13668->24441->26495->26492->8155->14977->29802->21262->23046->22460->9121->23543->22454->27233->4465->5110->10527->17122->2638->2643->8850->17705->12183->26575->19264->6818->19267->26450->26697->26239->12438->21847->2504->26637->8429->8425->26582->30371->3->17565->17562->104->95->17572->26324->23790->21322->27976->7680->27981->20755->12745->4415->5068->27792->29615->8804->16315->16876->16995
4931915383570432,35,PRADERA,DEPORTIVO 18 DE MARZO (METRO),PRADERA-DEPORTIVO 18 DE MARZO (METRO),PRADERA-DEPORTIVO 18 DE MARZO (METRO),15-02-2016,23:13,61.0,AutobÃºs,5.5,10.5587910353,false,->14528->14530->1184->11328->11327->10269->10119->24350->27300->27303->16377->16338->28786->22316->21871->21846->20581->19242->13214->7642->7529->5027->29676->25231->6908->8325->29535->29556->29503->29494->13549->13515->29492->29502->29514->12611->13424->25978->25398->13449->13437->8700->4744->7869->9717->8794->26684->3987->3951->57->27452->19896->25390->25389->16516->29241->21601->30078->29167->19744->19748->14236->8667->4055->1982->30925->21041->9494->2360->8763->27814->29880->384->7316->4242->6990->16962->8258->8260->9853->20656->24313->22505->22477->22449->22530->16074->16208->24922->24938->16186->24394->2347->3854->30294->13244->27508->4219->4162->27550->8953->28402->28405->17338->4046->10384->20021->20076->17011->17012->20075->20072->23973->23974->20082->20028->26526->26544->26545->20886->20895->15311->15309->15310->15312->20898->20911->21376->21377->20839->1913->20178->21401->21402->20022->20141->12081->12082->20038->20042->8393->8394->20033->20177->5838->13693->11880->20177->20129->19476->15064->15065->23950->18618->21910->19533->13149->25266->27870->19533->19542->19545->13447->13445->19481->20361->135->22424->22413->22412->22415->19398->19545->13447->13445->19481->20361->135->22424->21944->13445->19481->20361->6618->6813->9936->6847->12254->12253->29363->29332->29328->29354->17450->1318->16124->5647->5659->16831->16832->3554->22428->9956->9439->16758->17099->3554->22428->22343->22370->22351->22375->22273->22265->22263->22267->22335->22458->22431->22417->22489->22492->22444->22354->22402->3585->3619->3661->3684->3469->3463->3461->23494->25887->16280->16354->16375
4681700328079360,345,XOCHIMILCO,SANTA CRUZ ACALPIXCA,XOCHIMILCO-SANTA CRUZ ACALPIXCA,XOCHIMILCO-SANTA CRUZ ACALPIXCA,05-02-2016,03:22,21.0,MicrobÃºs,5.0,5.17574014944,false,->19173->25239->25240->8683->24846->7250->7282->1712->23741->12874->18060->24681->7167->26272->6095->13355->5750->13148->12478->5125->5372->5370->22461->4870->24427->24428->17116->11016->11732->2553->811->815->821->1994->15826->12818->8841->17433->8005->7999->29472->22494->16691->8401->26068->15052->18530->17433->10668->14123->10005->10006->10375->2714->117->23670->23652->24219->13991->13986->16548->29097->12127->17512->30662->28094->28090->30661
6736212060536832,491,SAN ÃÂNGEL,UNIVERSIDAD (METRO),SAN ÃÂNGEL-UNIVERSIDAD (METRO),SAN ÃÂNGEL-UNIVERSIDAD (METRO),10-02-2016,22:15,33.0,MicrobÃºs,4.5,6.55053241244,false,->16715->26502->11600->19324->26795->8854->1033->21400->9859->2432->16105->19916->22210->24978->8341->18861->22986->17029->9405->10823->18412->5264->8247->21425->21695->30583->1650->27187->20384->26859->28056->13343->12771->12851->12824->14464->683->9159->12579->23961->30146->8167->12045->23766->28783->9831->8165->20116->20117->29707->17887->3623->6247->1298->12587->12586->12558->27639->12066->4675->17447->21270->24714->10815->17081->21362->21353->17898->14360->7747->8525->2588
5878671474688000,423,ZAPOTITLÃÂN (METRO),UNIVERSIDAD MARISTA,ZAPOTITLÃÂN (METRO)-UNIVERSIDAD MARISTA,ZAPOTITLÃÂN (METRO)-UNIVERSIDAD MARISTA,06-02-2016,20:18,22.0,Vagoneta/Combi,4.0,4.44676411764,false,->27321->4372->23614->26212->26389->27167->11484->9380->14190->18431->18429->3478->30039->25411->9106->7651->3695->3681->3731->15449->3742->23456->23832->9454->9399->23624->3504->4700->4698->4722->4717->18464->1262->1261->1247->1251->1254->1252->18449->5024->5023->2564->2567->2565->2573->18382->16659->2363->14111->8977->11460->17889->13007
